"common","catch_count","year","month","MODE_FX","AREA_X","clust","mean_brevis_count"
"BLUE RUNNER",8,"1990","3","7","5","3",1834
"COMMON SNOOK",1,"1990","3","7","5","2",1834
"CREVALLE JACK",2,"1990","3","7","5","2",1834
"GAFFTOPSAIL CATFISH",13,"1990","3","7","5","2",1834
"GAG",3,"1990","3","7","5","2",1834
"GRAY SNAPPER",11,"1990","3","7","5","2",1834
"GULF FLOUNDER",1,"1990","3","7","5","2",1834
"GULF TOADFISH",6,"1990","3","7","5","3",1834
"HARDHEAD CATFISH",43,"1990","3","7","5","3",1834
"INSHORE LIZARDFISH",1,"1990","3","3","5","2",1834
"LADYFISH",83,"1990","3","7","5","4",1834
"LEATHERJACK",2,"1990","3","3","5","3",1834
"LEFTEYE FLOUNDER FAMILY",1,"1990","3","3","5","2",1834
"PIGFISH",1,"1990","3","3","5","3",1834
"PINFISH",10,"1990","3","3","5","3",1834
"PINFISH",14,"1990","3","7","5","3",1834
"RED DRUM",3,"1990","3","7","5","2",1834
"RED GROUPER",2,"1990","3","7","5","2",1834
"SAND SEATROUT",39,"1990","3","7","5","3",1834
"SEA CATFISH FAMILY",2,"1990","3","7","5","2",1834
"SHEEPSHEAD",24,"1990","3","3","5","2",1834
"SHEEPSHEAD",20,"1990","3","7","5","2",1834
"SILVER SEATROUT",14,"1990","3","7","5","3",1834
"SOUTHERN KINGFISH",1,"1990","3","7","5","3",1834
"SOUTHERN PUFFER",36,"1990","3","7","5","3",1834
"SOUTHERN STINGRAY",2,"1990","3","7","5","3",1834
"SPANISH MACKEREL",73,"1990","3","3","5","3",1834
"SPANISH MACKEREL",3,"1990","3","7","5","2",1834
"SPOTTED SEATROUT",80,"1990","3","7","5","4",1834
"STRIPED BURRFISH",13,"1990","3","7","5","3",1834
"UNIDENTIFIED (SURFACE FISH)",1,"1990","3","3","5","3",1834
"UNIDENTIFIED GROUPER",4,"1990","3","7","5","3",1834
"WHITE GRUNT",23,"1990","3","7","5","3",1834
"ATLANTIC NEEDLEFISH",1,"1990","8","7","5","3",0
"ATLANTIC THREAD HERRING",110,"1990","8","7","5","4",0
"BLACK SEA BASS",77,"1990","8","7","5","4",0
"BLACKTIP SHARK",1,"1990","8","7","5","3",0
"BLUE RUNNER",3,"1990","8","7","5","3",0
"COMMON SNOOK",1,"1990","8","7","5","3",0
"CREVALLE JACK",2,"1990","8","7","5","3",0
"GAFFTOPSAIL CATFISH",61,"1990","8","7","5","4",0
"GRAY SNAPPER",11,"1990","8","7","5","3",0
"GRUNT FAMILY",35,"1990","8","7","5","3",0
"GULF FLOUNDER",1,"1990","8","5","5","2",0
"GULF FLOUNDER",1,"1990","8","7","5","3",0
"HARDHEAD CATFISH",2,"1990","8","5","5","2",0
"HARDHEAD CATFISH",34,"1990","8","7","5","3",0
"INSHORE LIZARDFISH",1,"1990","8","5","5","2",0
"INSHORE LIZARDFISH",3,"1990","8","7","5","3",0
"LADYFISH",1,"1990","8","7","5","3",0
"LEFTEYE FLOUNDER FAMILY",1,"1990","8","7","5","3",0
"PIGFISH",49,"1990","8","7","5","3",0
"PINFISH",4,"1990","8","5","5","2",0
"PINFISH",85,"1990","8","7","5","4",0
"PUFFER FAMILY",6,"1990","8","7","5","3",0
"RED DRUM",5,"1990","8","5","5","2",0
"RED DRUM",30,"1990","8","7","5","3",0
"RED GROUPER",1,"1990","8","7","5","3",0
"REMORA",3,"1990","8","7","5","3",0
"SAND PERCH",2,"1990","8","7","5","3",0
"SAND SEATROUT",29,"1990","8","7","5","3",0
"SCALED SARDINE",90,"1990","8","7","5","4",0
"SEA CATFISH FAMILY",24,"1990","8","7","5","3",0
"SHEEPSHEAD",2,"1990","8","7","5","3",0
"SILVER SEATROUT",2,"1990","8","7","5","3",0
"SNAPPER FAMILY",6,"1990","8","7","5","3",0
"SNOOK GENUS",2,"1990","8","7","5","3",0
"SOUTHERN FLOUNDER",1,"1990","8","7","5","3",0
"SOUTHERN KINGFISH",2,"1990","8","7","5","3",0
"SOUTHERN PUFFER",4,"1990","8","7","5","3",0
"SOUTHERN STINGRAY",1,"1990","8","5","5","3",0
"SPANISH MACKEREL",1,"1990","8","7","5","3",0
"SPANISH SARDINE",50,"1990","8","7","5","4",0
"SPOTTED SEATROUT",32,"1990","8","5","5","4",0
"SPOTTED SEATROUT",133,"1990","8","7","5","4",0
"TOADFISH FAMILY",4,"1990","8","7","5","3",0
"UNIDENTIFIED FISH",24,"1990","8","7","5","3",0
"ATLANTIC CROAKER",1,"1990","10","7","5","3",0
"ATLANTIC NEEDLEFISH",3,"1990","10","7","5","3",0
"ATLANTIC THREAD HERRING",213,"1990","10","7","5","4",0
"BLACK DRUM",1,"1990","10","7","5","3",0
"BLACK SEA BASS",7,"1990","10","7","5","3",0
"COBIA",2,"1990","10","7","5","3",0
"CREVALLE JACK",1,"1990","10","3","5","3",0
"CREVALLE JACK",19,"1990","10","7","5","3",0
"GAFFTOPSAIL CATFISH",22,"1990","10","7","5","3",0
"GAG",5,"1990","10","7","5","3",0
"GRAY SNAPPER",39,"1990","10","7","5","3",0
"GRUNT FAMILY",5,"1990","10","7","5","3",0
"GULF FLOUNDER",2,"1990","10","3","5","3",0
"GULF FLOUNDER",5,"1990","10","7","5","3",0
"GULF TOADFISH",1,"1990","10","7","5","3",0
"HARDHEAD CATFISH",9,"1990","10","3","5","3",0
"HARDHEAD CATFISH",38,"1990","10","7","5","3",0
"INSHORE LIZARDFISH",1,"1990","10","3","5","3",0
"INSHORE LIZARDFISH",21,"1990","10","7","5","3",0
"JACK FAMILY",7,"1990","10","7","5","3",0
"LADYFISH",98,"1990","10","7","5","4",0
"LIZARDFISH FAMILY",9,"1990","10","7","5","3",0
"NEEDLEFISH FAMILY",3,"1990","10","7","5","3",0
"ORANGE FILEFISH",1,"1990","10","7","5","3",0
"PIGFISH",7,"1990","10","3","5","3",0
"PIGFISH",38,"1990","10","7","5","3",0
"PINFISH",234,"1990","10","7","5","4",0
"PUFFER FAMILY",2,"1990","10","7","5","3",0
"RED DRUM",7,"1990","10","7","5","3",0
"RED GROUPER",6,"1990","10","7","5","3",0
"ROUGHTAIL STINGRAY",1,"1990","10","7","5","3",0
"SAND PERCH",2,"1990","10","7","5","3",0
"SAND SEATROUT",1,"1990","10","7","5","3",0
"SCALED SARDINE",60,"1990","10","3","5","4",0
"SCALED SARDINE",535,"1990","10","7","5","5",0
"SCRAWLED COWFISH",2,"1990","10","7","5","3",0
"SEA CATFISH FAMILY",16,"1990","10","7","5","3",0
"SEATROUT GENUS",4,"1990","10","7","5","3",0
"SHEEPSHEAD",27,"1990","10","7","5","3",0
"SILVER PERCH",5,"1990","10","7","5","3",0
"SILVER SEATROUT",1,"1990","10","7","5","3",0
"SOUTHERN FLOUNDER",1,"1990","10","7","5","3",0
"SOUTHERN KINGFISH",1,"1990","10","7","5","3",0
"SOUTHERN PUFFER",1,"1990","10","7","5","3",0
"SPANISH MACKEREL",12,"1990","10","7","5","3",0
"SPOTFIN MOJARRA",3,"1990","10","7","5","3",0
"SPOTTED SEATROUT",1,"1990","10","3","5","3",0
"SPOTTED SEATROUT",221,"1990","10","7","5","4",0
"STINGRAY FAMILY",2,"1990","10","7","5","3",0
"STRIPED BURRFISH",13,"1990","10","7","5","3",0
"UNIDENTIFIED FISH",1,"1990","10","7","5","3",0
"UNIDENTIFIED GROUPER",1,"1990","10","7","5","3",0
"ATLANTIC NEEDLEFISH",1,"1991","7","7","5","3",699640
"COMMON SNOOK",10,"1991","7","7","5","3",699640
"CREVALLE JACK",1,"1991","7","7","5","3",699640
"GRAY SNAPPER",3,"1991","7","7","5","3",699640
"GULF FLOUNDER",1,"1991","7","7","5","3",699640
"HARDHEAD CATFISH",4,"1991","7","7","5","3",699640
"LADYFISH",3,"1991","7","7","5","3",699640
"NEEDLEFISH FAMILY",1,"1991","7","7","5","3",699640
"PIGFISH",27,"1991","7","7","5","3",699640
"PINFISH",42,"1991","7","7","5","4",699640
"RED DRUM",3,"1991","7","7","5","3",699640
"SAND SEATROUT",1,"1991","7","7","5","3",699640
"SCALED SARDINE",200,"1991","7","7","5","5",699640
"SHEEPSHEAD",2,"1991","7","7","5","3",699640
"SPOTTED SEATROUT",21,"1991","7","7","5","4",699640
"YELLOWFIN MENHADEN",20,"1991","7","7","5","3",699640
"GRAY SNAPPER",15,"1991","9","7","5","3",152600
"HARDHEAD CATFISH",2,"1991","9","7","5","3",152600
"LADYFISH",12,"1991","9","7","5","3",152600
"LEFTEYE FLOUNDER GENUS",1,"1991","9","7","5","3",152600
"PINFISH",21,"1991","9","7","5","3",152600
"RED DRUM",2,"1991","9","7","5","3",152600
"SCALED SARDINE",40,"1991","9","7","5","4",152600
"SOUTHERN FLOUNDER",1,"1991","9","7","5","3",152600
"SPOTTED SEATROUT",7,"1991","9","7","5","4",152600
"COMMON SNOOK",1,"1991","10","7","5","3",9893
"CREVALLE JACK",3,"1991","10","7","5","3",9893
"GAFFTOPSAIL CATFISH",2,"1991","10","7","5","3",9893
"GAG",5,"1991","10","7","5","3",9893
"GRAY SNAPPER",3,"1991","10","7","5","3",9893
"LADYFISH",2,"1991","10","7","5","3",9893
"PIGFISH",1,"1991","10","7","5","3",9893
"RED DRUM",3,"1991","10","7","5","3",9893
"SAND DIVER",2,"1991","10","7","5","3",9893
"SPANISH MACKEREL",1,"1991","10","7","5","3",9893
"SPOTTED SEATROUT",40,"1991","10","7","5","4",9893
"BLACK SEA BASS",9,"1991","11","7","5","3",0
"BLUEFISH",10,"1991","11","7","5","2",0
"COMMON SNOOK",2,"1991","11","3","5","3",0
"COMMON SNOOK",17,"1991","11","7","5","3",0
"CREVALLE JACK",12,"1991","11","7","5","3",0
"GAG",6,"1991","11","7","5","3",0
"GRAY SNAPPER",15,"1991","11","7","5","3",0
"GULF FLOUNDER",2,"1991","11","3","5","3",0
"GULF FLOUNDER",5,"1991","11","7","5","3",0
"HAMMERHEAD SHARK GENUS",2,"1991","11","7","5","3",0
"HARDHEAD CATFISH",4,"1991","11","7","5","3",0
"INSHORE LIZARDFISH",29,"1991","11","7","5","3",0
"LADYFISH",1,"1991","11","3","5","3",0
"LADYFISH",12,"1991","11","7","5","3",0
"LEFTEYE FLOUNDER GENUS",2,"1991","11","7","5","3",0
"LIZARDFISH GENUS",4,"1991","11","7","5","2",0
"PIGFISH",20,"1991","11","3","5","3",0
"PINFISH",17,"1991","11","7","5","3",0
"RED DRUM",1,"1991","11","3","5","3",0
"RED DRUM",7,"1991","11","7","5","3",0
"SAND PERCH",13,"1991","11","7","5","3",0
"SHEEPSHEAD",8,"1991","11","7","5","3",0
"SOUTHERN FLOUNDER",7,"1991","11","7","5","3",0
"SOUTHERN KINGFISH",1,"1991","11","3","5","3",0
"SOUTHERN PUFFER",1,"1991","11","3","5","3",0
"SOUTHERN PUFFER",2,"1991","11","7","5","3",0
"SPANISH MACKEREL",3,"1991","11","7","5","2",0
"SPOTTED SEATROUT",71,"1991","11","7","5","4",0
"STINGRAY FAMILY",1,"1991","11","7","5","3",0
"STRIPED BURRFISH",1,"1991","11","7","5","3",0
"UNIDENTIFIED FISH",1,"1991","11","7","5","3",0
"WHITE GRUNT",6,"1991","11","7","5","3",0
"CREVALLE JACK",1,"1991","12","7","5","2",0
"LADYFISH",4,"1991","12","7","5","2",0
"SPOTTED SEATROUT",8,"1991","12","7","5","4",0
"PIGFISH",3,"1992","9","7","5","3",3234990
"PINFISH",9,"1992","9","7","5","3",3234990
"ATLANTIC TARPON",1,"1992","10","7","5","3",96106
"BLUE RUNNER",1,"1992","10","7","5","3",96106
"COBIA",1,"1992","10","7","5","3",96106
"COMMON SNOOK",12,"1992","10","7","5","3",96106
"CREVALLE JACK",44,"1992","10","7","5","3",96106
"FLORIDA POMPANO",1,"1992","10","7","5","3",96106
"GAFFTOPSAIL CATFISH",2,"1992","10","7","5","3",96106
"GRAY SNAPPER",27,"1992","10","7","5","3",96106
"GULF FLOUNDER",1,"1992","10","3","5","3",96106
"HARDHEAD CATFISH",13,"1992","10","7","5","3",96106
"HERRING FAMILY",35,"1992","10","7","5","4",96106
"IRISH POMPANO",6,"1992","10","7","5","2",96106
"JACK FAMILY",1,"1992","10","7","5","3",96106
"LADYFISH",52,"1992","10","7","5","4",96106
"PIGFISH",5,"1992","10","7","5","3",96106
"PINFISH",8,"1992","10","3","5","3",96106
"PINFISH",32,"1992","10","7","5","3",96106
"RED DRUM",7,"1992","10","7","5","3",96106
"RED GROUPER",1,"1992","10","7","5","3",96106
"REMORA FAMILY",1,"1992","10","7","5","3",96106
"SAND PERCH",5,"1992","10","7","5","3",96106
"SCALED SARDINE",48,"1992","10","7","5","4",96106
"SEATROUT GENUS",3,"1992","10","7","5","3",96106
"SHEEPSHEAD",1,"1992","10","7","5","3",96106
"SOUTHERN FLOUNDER",1,"1992","10","3","5","3",96106
"SOUTHERN FLOUNDER",1,"1992","10","7","5","3",96106
"SPOTTED SEATROUT",4,"1992","10","3","5","3",96106
"SPOTTED SEATROUT",29,"1992","10","7","5","4",96106
"STRIPED MULLET",6,"1992","10","7","5","3",96106
"CREVALLE JACK",7,"1992","11","7","5","3",404089
"GRAY SNAPPER",2,"1992","11","7","5","3",404089
"HARDHEAD CATFISH",7,"1992","11","7","5","3",404089
"INSHORE LIZARDFISH",2,"1992","11","7","5","3",404089
"LADYFISH",6,"1992","11","7","5","3",404089
"PIGFISH",10,"1992","11","7","5","3",404089
"SCALED SARDINE",75,"1992","11","5","5","4",404089
"SCALED SARDINE",199,"1992","11","7","5","5",404089
"SPOTTED SEATROUT",25,"1992","11","7","5","4",404089
"STRIPED BURRFISH",3,"1992","11","7","5","3",404089
"BLACK SEA BASS",1,"1992","12","7","5","2",111
"COMMON SNOOK",10,"1992","12","7","5","2",111
"CREVALLE JACK",8,"1992","12","7","5","2",111
"GAFFTOPSAIL CATFISH",3,"1992","12","7","5","2",111
"GAG",1,"1992","12","7","5","2",111
"GRAY SNAPPER",4,"1992","12","7","5","2",111
"GULF FLOUNDER",3,"1992","12","7","5","2",111
"HARDHEAD CATFISH",1,"1992","12","7","5","2",111
"INSHORE LIZARDFISH",4,"1992","12","7","5","2",111
"LADYFISH",6,"1992","12","7","5","2",111
"LIZARDFISH FAMILY",2,"1992","12","7","5","2",111
"PINFISH",2,"1992","12","7","5","3",111
"RED DRUM",14,"1992","12","7","5","2",111
"SAND DIVER",1,"1992","12","7","5","3",111
"SHEEPSHEAD",9,"1992","12","7","5","2",111
"SOUTHERN FLOUNDER",1,"1992","12","7","5","3",111
"SOUTHERN KINGFISH",1,"1992","12","7","5","3",111
"SPOTTED SEATROUT",1,"1992","12","3","5","2",111
"SPOTTED SEATROUT",53,"1992","12","7","5","4",111
"STRIPED BURRFISH",1,"1992","12","7","5","3",111
"BLUE RUNNER",2,"1993","8","3","5","3",0
"CREVALLE JACK",8,"1993","8","3","5","3",0
"CREVALLE JACK",1,"1993","8","7","5","4",0
"GAFFTOPSAIL CATFISH",10,"1993","8","7","5","4",0
"GRAY SNAPPER",3,"1993","8","3","5","3",0
"GRAY SNAPPER",30,"1993","8","7","5","4",0
"GULF FLOUNDER",1,"1993","8","7","5","4",0
"HAMMERHEAD SHARK GENUS",1,"1993","8","7","5","4",0
"HARDHEAD CATFISH",2,"1993","8","3","5","3",0
"HARDHEAD CATFISH",4,"1993","8","7","5","4",0
"LADYFISH",1,"1993","8","3","5","4",0
"LADYFISH",8,"1993","8","7","5","4",0
"LEATHERJACK",102,"1993","8","3","5","4",0
"PIGFISH",7,"1993","8","7","5","3",0
"PINFISH",143,"1993","8","7","5","4",0
"RED DRUM",50,"1993","8","7","5","4",0
"SCALED SARDINE",549,"1993","8","7","5","5",0
"SHEEPSHEAD",3,"1993","8","3","5","3",0
"SOUTHERN PUFFER",1,"1993","8","7","5","3",0
"SPANISH MACKEREL",10,"1993","8","3","5","3",0
"SPOTTED SEATROUT",67,"1993","8","7","5","4",0
"STINGRAY FAMILY",2,"1993","8","7","5","3",0
"STRIPED BURRFISH",1,"1993","8","7","5","3",0
"STRIPED MULLET",15,"1993","8","7","5","4",0
"UNIDENTIFIED GROUPER",3,"1993","8","7","5","3",0
"GAG",1,"1994","9","7","5","3",2924140
"LADYFISH",1,"1994","9","7","5","3",2924140
"NEEDLEFISH FAMILY",2,"1994","9","7","5","3",2924140
"PINFISH",7,"1994","9","7","5","3",2924140
"SPOTTED SEATROUT",4,"1994","9","7","5","3",2924140
"STRIPED MULLET",19,"1994","9","3","5","3",2924140
"ATLANTIC THREAD HERRING",200,"1994","10","7","5","4",436650
"COMMON SNOOK",22,"1994","10","7","5","3",436650
"CREVALLE JACK",32,"1994","10","7","5","3",436650
"GAFFTOPSAIL CATFISH",1,"1994","10","7","5","3",436650
"GAG",7,"1994","10","7","5","3",436650
"GRAY SNAPPER",7,"1994","10","7","5","3",436650
"GREAT BARRACUDA",2,"1994","10","7","5","3",436650
"HARDHEAD CATFISH",7,"1994","10","7","5","3",436650
"INSHORE LIZARDFISH",3,"1994","10","7","5","3",436650
"KING MACKEREL",1,"1994","10","7","5","3",436650
"LADYFISH",4,"1994","10","7","5","3",436650
"LEFTEYE FLOUNDER GENUS",1,"1994","10","7","5","3",436650
"LITTLE TUNNY",3,"1994","10","7","5","3",436650
"NEEDLEFISH FAMILY",1,"1994","10","7","5","3",436650
"PINFISH",36,"1994","10","7","5","3",436650
"RED DRUM",2,"1994","10","7","5","3",436650
"RED GROUPER",8,"1994","10","7","5","3",436650
"SCALED SARDINE",10,"1994","10","7","5","4",436650
"SOUTHERN FLOUNDER",1,"1994","10","7","5","3",436650
"SPOTTED SEATROUT",19,"1994","10","7","5","4",436650
"STINGRAY FAMILY",1,"1994","10","7","5","3",436650
"CREVALLE JACK",4,"1994","11","3","5","3",1393431
"CREVALLE JACK",2,"1994","11","7","5","3",1393431
"GAG",6,"1994","11","3","5","3",1393431
"GRAY SNAPPER",7,"1994","11","7","5","3",1393431
"HARDHEAD CATFISH",1,"1994","11","7","5","3",1393431
"LADYFISH",1,"1994","11","3","5","3",1393431
"LADYFISH",3,"1994","11","7","5","3",1393431
"PIGFISH",3,"1994","11","3","5","3",1393431
"PINFISH",1,"1994","11","3","5","3",1393431
"PLANEHEAD FILEFISH",4,"1994","11","3","5","3",1393431
"SHEEPSHEAD",2,"1994","11","3","5","3",1393431
"SHEEPSHEAD",2,"1994","11","7","5","3",1393431
"SPOTTAIL PINFISH",1,"1994","11","3","5","2",1393431
"STINGRAY FAMILY",1,"1994","11","3","5","3",1393431
"YELLOWMOUTH GROUPER",3,"1994","11","3","5","3",1393431
"BLACK DRUM",1,"1994","12","7","5","2",4770404
"CREVALLE JACK",6,"1994","12","7","5","2",4770404
"GAG",17,"1994","12","7","5","2",4770404
"GRAY SNAPPER",14,"1994","12","7","5","3",4770404
"GULF FLOUNDER",7,"1994","12","7","5","2",4770404
"INSHORE LIZARDFISH",6,"1994","12","7","5","2",4770404
"LADYFISH",27,"1994","12","7","5","2",4770404
"PIGFISH",2,"1994","12","7","5","3",4770404
"PINFISH",9,"1994","12","7","5","3",4770404
"SPOTTED SEATROUT",66,"1994","12","7","5","4",4770404
"BLACK DRUM",1,"1995","1","3","5","2",3332
"BLACK SEA BASS",1,"1995","1","7","5","2",3332
"CLEARNOSE SKATE",1,"1995","1","3","5","3",3332
"COMMON SNOOK",2,"1995","1","7","5","2",3332
"CREVALLE JACK",4,"1995","1","7","5","2",3332
"GAFFTOPSAIL CATFISH",6,"1995","1","3","5","2",3332
"GAG",1,"1995","1","3","5","2",3332
"GULF FLOUNDER",1,"1995","1","3","5","2",3332
"HARDHEAD CATFISH",1,"1995","1","7","5","2",3332
"INSHORE LIZARDFISH",6,"1995","1","3","5","2",3332
"INSHORE LIZARDFISH",1,"1995","1","7","5","2",3332
"LADYFISH",2,"1995","1","7","5","2",3332
"LEFTEYE FLOUNDER FAMILY",2,"1995","1","3","5","2",3332
"PIGFISH",2,"1995","1","3","5","2",3332
"PINFISH",22,"1995","1","3","5","2",3332
"RED DRUM",1,"1995","1","3","5","2",3332
"SAND SEATROUT",1,"1995","1","7","5","2",3332
"SHEEPSHEAD",7,"1995","1","3","5","2",3332
"SHEEPSHEAD",1,"1995","1","7","5","2",3332
"SOUTHERN PUFFER",1,"1995","1","7","5","2",3332
"SPANISH MACKEREL",1,"1995","1","3","5","2",3332
"SPOTTED SEATROUT",1,"1995","1","3","5","2",3332
"STINGRAY GENUS",1,"1995","1","7","5","2",3332
"BLACK SEA BASS",1,"1995","2","7","5","2",0
"FLORIDA POMPANO",1,"1995","2","7","5","2",0
"GAG",3,"1995","2","7","5","2",0
"GRAY SNAPPER",26,"1995","2","7","5","2",0
"GULF TOADFISH",1,"1995","2","7","5","2",0
"KINGFISH GENUS",4,"1995","2","7","5","2",0
"LEFTEYE FLOUNDER FAMILY",1,"1995","2","3","5","2",0
"PINFISH",5,"1995","2","3","5","2",0
"RED DRUM",3,"1995","2","7","5","2",0
"SAND PERCH",1,"1995","2","7","5","2",0
"SEATROUT GENUS",14,"1995","2","7","5","2",0
"SHEEPSHEAD",1,"1995","2","3","5","2",0
"SHEEPSHEAD",46,"1995","2","7","5","2",0
"SILVER PERCH",1,"1995","2","7","5","3",0
"SOUTHERN KINGFISH",1,"1995","2","3","5","3",0
"SOUTHERN KINGFISH",1,"1995","2","7","5","2",0
"SPOTTAIL PINFISH",11,"1995","2","7","5","2",0
"SPOTTED SEATROUT",1,"1995","2","3","5","2",0
"SPOTTED SEATROUT",6,"1995","2","7","5","2",0
"WHITE GRUNT",12,"1995","2","7","5","2",0
"BLACK SEA BASS",3,"1995","5","7","5","2",456450
"CREVALLE JACK",40,"1995","5","7","5","2",456450
"GAG",15,"1995","5","7","5","2",456450
"GRAY SNAPPER",15,"1995","5","7","5","2",456450
"HARDHEAD CATFISH",1,"1995","5","7","5","2",456450
"INSHORE LIZARDFISH",2,"1995","5","7","5","2",456450
"LADYFISH",1,"1995","5","7","5","2",456450
"SPOTTED SEATROUT",5,"1995","5","7","5","2",456450
"STRIPED BURRFISH",1,"1995","5","7","5","3",456450
"COMMON SNOOK",3,"1995","6","7","5","2",1464380
"CREVALLE JACK",10,"1995","6","7","5","2",1464380
"GRAY SNAPPER",3,"1995","6","7","5","2",1464380
"GULF FLOUNDER",2,"1995","6","7","5","2",1464380
"HARDHEAD CATFISH",7,"1995","6","7","5","2",1464380
"LADYFISH",6,"1995","6","7","5","2",1464380
"PINFISH",29,"1995","6","7","5","2",1464380
"RED DRUM",8,"1995","6","7","5","2",1464380
"SHEEPSHEAD",1,"1995","6","7","5","2",1464380
"SPOTTED SEATROUT",23,"1995","6","7","5","4",1464380
"TOADFISH GENUS",1,"1995","6","7","5","2",1464380
"UNIDENTIFIED (SURFACE FISH)",1,"1995","6","7","5","3",1464380
"BLACK DRUM",1,"1995","7","7","5","2",49421
"CREVALLE JACK",1,"1995","7","7","5","2",49421
"GAFFTOPSAIL CATFISH",1,"1995","7","7","5","2",49421
"GRAY SNAPPER",2,"1995","7","7","5","2",49421
"LADYFISH",1,"1995","7","7","5","2",49421
"RED DRUM",1,"1995","7","7","5","2",49421
"SCALED SARDINE",13,"1995","7","7","5","4",49421
"SPOTTED SEATROUT",6,"1995","7","7","5","4",49421
"ATLANTIC SPADEFISH",1,"1995","8","3","5","2",1386527
"BLACK DRUM",4,"1995","8","3","5","2",1386527
"COMMON SNOOK",10,"1995","8","3","5","2",1386527
"CREVALLE JACK",4,"1995","8","3","5","2",1386527
"PINFISH",1,"1995","8","3","5","2",1386527
"SHEEPSHEAD",30,"1995","8","3","5","2",1386527
"BLACK SEA BASS",1,"1995","9","7","5","2",1543920
